city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time,lat_bin,long_bin
bellmore,ny,United States,disk,1800.0,30 min.,5/11/2000,40.6686111,-73.5275,10/10/1970,16:00,"(40.655, 41.246]","(-74.629, -72.787]"
manchester,ky,United States,unknown,180.0,3 minutes,2/14/2008,37.1536111,-83.7619444,10/10/1970,19:00,"(36.2, 37.669]","(-83.971, -82.495]"
lexington,nc,United States,oval,30.0,30 seconds,2/14/2010,35.8238889,-80.2536111,10/10/1971,21:00,"(35.227, 36.2]","(-80.966, -79.417]"
harlan county,ky,United States,circle,1200.0,20minutes,9/15/2005,36.8430556,-83.3219444,10/10/1972,19:00,"(36.2, 37.669]","(-83.971, -82.495]"
west bloomfield,mi,United States,disk,120.0,2 minutes,8/14/2007,42.5377778,-83.2330556,10/10/1972,22:30,"(42.439, 43.174]","(-83.971, -82.495]"
niantic,ct,United States,disk,1800.0,20-30 min,9/24/2003,41.3252778,-72.1936111,10/10/1973,19:00,"(41.246, 41.721]","(-72.787, -3.381]"
bermuda nas,,Fuck,light,20.0,20 sec.,1/11/2002,32.364167,-64.678611,10/10/1973,23:00,"(30.421, 32.776]","(-72.787, -3.381]"
hudson,ma,United States,other,2700.0,45 minutes,8/10/1999,42.3916667,-71.5666667,10/10/1974,19:30,"(41.721, 42.439]","(-72.787, -3.381]"
cardiff (uk/wales),,United Kingdom,disk,1200.0,20 minutes,2/1/2007,51.5,-3.2,10/10/1974,21:30,"(48.88, 70.292]","(-3.381, 178.018]"
hudson,ks,United States,light,1200.0,one hour?,7/25/2004,38.1055556,-98.6597222,10/10/1974,23:00,"(37.669, 38.582]","(-104.058, -96.949]"
north charleston,sc,United States,light,360.0,5-6 minutes,2/14/2008,32.8544444,-79.975,10/10/1975,17:00,"(32.776, 33.631]","(-80.966, -79.417]"
washougal,wa,United States,oval,60.0,1 minute,2/7/2014,45.5827778,-122.3522222,10/10/1976,20:30,"(44.712, 46.73]","(-122.483, -121.787]"
stoke mandeville (uk/england),,United Kingdom,cigar,3.0,3 seconds,12/12/2009,51.783333,-0.783333,10/10/1976,22:00,"(48.88, 70.292]","(-3.381, 178.018]"
san antonio,tx,United States,other,30.0,30 seconds,2/24/2005,29.4238889,-98.4933333,10/10/1977,12:00,"(27.9, 30.421]","(-104.058, -96.949]"
louisville,ky,United States,light,30.0,approx: 30 seconds,3/17/2004,38.2541667,-85.7594444,10/10/1977,22:00,"(37.669, 38.582]","(-85.922, -83.971]"
elmont,ny,United States,rectangle,300.0,5min,2/1/2007,40.7008333,-73.7133333,10/10/1978,02:00,"(40.655, 41.246]","(-74.629, -72.787]"
poughkeepsie,ny,United States,chevron,900.0,15 minutes,4/16/2005,41.7002778,-73.9213889,10/10/1979,00:00,"(41.246, 41.721]","(-74.629, -72.787]"
saddle lake (canada),ab,Canada,triangle,270.0,4.5 or more min.,1/19/2005,53.970571,-111.689885,10/10/1979,22:00,"(48.88, 70.292]","(-111.694, -104.058]"
san diego,ca,United States,oval,180.0,3 minutes,8/5/2001,32.7152778,-117.1563889,10/10/1979,22:00,"(30.421, 32.776]","(-118.34, -116.419]"
security,co,United States,unknown,1800.0,30mins.,1/28/1999,38.7583333,-104.7425,10/10/1979,22:00,"(38.582, 39.162]","(-111.694, -104.058]"
houston,tx,United States,sphere,180.0,3 min,4/16/2005,29.7630556,-95.3630556,10/10/1980,19:00,"(27.9, 30.421]","(-96.949, -93.855]"
dallas,tx,United States,unknown,300.0,5 minutes,10/28/2002,32.7833333,-96.8,10/10/1980,22:00,"(32.776, 33.631]","(-96.949, -93.855]"
manchester,nh,United States,light,300.0,3 to 5 min,11/21/2010,42.9955556,-71.4552778,10/10/1980,23:30,"(42.439, 43.174]","(-72.787, -3.381]"
gisborne (new zealand),,New zealand,disk,120.0,2min,1/11/2002,-38.662334,178.017649,10/10/1982,07:00,"(-46.165, 27.9]","(-3.381, 178.018]"
houston,tx,United States,circle,60.0,1 minute,4/18/2012,29.7630556,-95.3630556,10/10/1984,05:00,"(27.9, 30.421]","(-96.949, -93.855]"
traverse city,mi,United States,other,120.0,couple minutes,10/7/2003,44.7630556,-85.6205556,10/10/1984,12:00,"(44.712, 46.73]","(-85.922, -83.971]"
white plains,ny,United States,formation,20.0,15-20 seconds,8/10/1999,41.0338889,-73.7633333,10/10/1984,22:00,"(40.655, 41.246]","(-74.629, -72.787]"
leeds (uk/england),,United Kingdom,triangle,600.0,10min,3/4/2003,53.8,-1.583333,10/10/1985,20:25,"(48.88, 70.292]","(-3.381, 178.018]"
holmes/pawling,ny,United States,chevron,180.0,3 minutes,10/8/2007,41.523427,-73.646795,10/10/1986,20:00,"(41.246, 41.721]","(-74.629, -72.787]"
milwaukee,wi,United States,triangle,600.0,10 minutes,8/7/2007,43.0388889,-87.9063889,10/10/1988,18:00,"(42.439, 43.174]","(-90.198, -87.821]"
new gloucester,me,United States,unknown,120.0,few minutes,1/10/2009,43.9627778,-70.2830556,10/10/1988,21:00,"(43.174, 44.712]","(-72.787, -3.381]"
boulder,co,United States,light,60.0,1 minute,7/16/2006,40.015,-105.27,10/10/1988,22:00,"(39.927, 40.655]","(-111.694, -104.058]"
seattle (ballard area),wa,United States,unknown,2.0,2 sec.,4/27/2004,47.6063889,-122.3308333,10/10/1988,22:45,"(46.73, 48.88]","(-122.483, -121.787]"
calabasas,ca,United States,disk,300.0,approx 5 min,12/14/2004,34.1577778,-118.6375,10/10/1989,00:00,"(34.148, 35.227]","(-121.787, -118.34]"
centralia,wa,United States,triangle,60.0,1 minute,4/27/2004,46.7163889,-122.9530556,10/10/1989,21:00,"(44.712, 46.73]","(-169.543, -122.483]"
kranklin,ky,United States,triangle,180.0,3min,5/11/2005,36.722263,-86.577218,10/10/1989,21:00,"(36.2, 37.669]","(-87.821, -85.922]"
ashburn,ga,United States,triangle,120.0,2 minutes,10/8/2007,31.7058333,-83.6533333,10/10/1990,21:00,"(30.421, 32.776]","(-83.971, -82.495]"
frisco,nc,United States,unknown,1800.0,30 minutes,1/28/1999,35.235,-75.6288889,10/10/1991,22:00,"(35.227, 36.2]","(-76.978, -74.629]"
harrisburg,pa,United States,triangle,600.0,10 minutes,5/9/2003,40.2736111,-76.8847222,10/10/1991,22:00,"(39.927, 40.655]","(-76.978, -74.629]"
panama city,fl,United States,formation,3600.0,1 hour(?),1/28/1999,30.1586111,-85.6602778,10/10/1992,17:00,"(27.9, 30.421]","(-85.922, -83.971]"
stafford,tx,United States,unknown,10.0,10 seconds,4/18/2012,29.6158333,-95.5575,10/10/1992,18:00,"(27.9, 30.421]","(-96.949, -93.855]"
seymour,tn,United States,cigar,60.0,1min. 39s,10/31/2008,35.8905556,-83.7247222,10/10/1992,20:15,"(35.227, 36.2]","(-83.971, -82.495]"
weatherford,tx,United States,unknown,30.0,30 seconds,9/2/2005,32.7591667,-97.7969444,10/10/1992,22:00,"(30.421, 32.776]","(-104.058, -96.949]"
zlatoust (russia),,United States,sphere,1200.0,20 minutes,12/14/2004,55.183333,59.65,10/10/1993,03:00,"(48.88, 70.292]","(-3.381, 178.018]"
peoria,il,United States,light,8.0,8 seconds,10/11/2005,40.6936111,-89.5888889,10/10/1993,22:00,"(40.655, 41.246]","(-90.198, -87.821]"
carthage,tn,United States,other,60.0,less than 1 min,3/21/2003,36.2522222,-85.9516667,10/10/1993,23:00,"(36.2, 37.669]","(-87.821, -85.922]"
mercedies,tx,United States,cigar,3600.0,1 hour,12/12/2011,26.149798,-97.913611,10/10/1994,15:00,"(-46.165, 27.9]","(-104.058, -96.949]"
burnt hills,ny,United States,rectangle,120.0,2 minutes,10/23/2013,42.9097222,-73.8955556,10/10/1994,18:30,"(42.439, 43.174]","(-74.629, -72.787]"
pinebergen,ar,United States,light,5.0,5 seconds,2/18/2001,34.1027778,-91.9922222,10/10/1994,22:00,"(33.631, 34.148]","(-93.855, -90.198]"
toronto (greater toronto area) (canada),on,Canada,sphere,3600.0,~1 hour,7/3/2013,43.666667,-79.416667,10/10/1994,23:00,"(43.174, 44.712]","(-80.966, -79.417]"
milwaukee,wi,United States,,120.0,2 min.,11/2/1999,43.0388889,-87.9063889,10/10/1995,19:45,"(42.439, 43.174]","(-90.198, -87.821]"
oakland,ca,United States,,60.0,1 minute,11/2/1999,37.8044444,-122.2697222,10/10/1995,22:40,"(37.669, 38.582]","(-122.483, -121.787]"
higginsville,mo,United States,triangle,3.0,3sec,2/16/2000,39.0725,-93.7169444,10/10/1996,03:20,"(38.582, 39.162]","(-93.855, -90.198]"
lake macquarie (nsw&#44 australia),,Australia,light,300.0,5 min,5/24/1999,-33.093373,151.588982,10/10/1996,20:00,"(-46.165, 27.9]","(-3.381, 178.018]"
charleston,sc,United States,light,300.0,5 min,11/26/2003,32.7763889,-79.9311111,10/10/1996,22:00,"(30.421, 32.776]","(-80.966, -79.417]"
monroe county,oh,United States,cylinder,60.0,1 minute,7/8/2004,39.4402778,-84.3622222,10/10/1996,22:30,"(39.162, 39.927]","(-85.922, -83.971]"
connersville,in,United States,delta,14400.0,4 hours,1/28/1999,39.6411111,-85.1411111,10/10/1997,16:00,"(39.162, 39.927]","(-85.922, -83.971]"
mesa,az,United States,sphere,30.0,30 seconds,2/14/2008,33.4222222,-111.8219444,10/10/1997,17:00,"(32.776, 33.631]","(-116.419, -111.694]"
bonaire,ga,United States,triangle,300.0,<5 minutes,2/1/2007,32.5436111,-83.5961111,10/10/1997,20:00,"(30.421, 32.776]","(-83.971, -82.495]"
austin,mn,United States,other,3600.0,1-hour,1/28/1999,43.6666667,-92.9744444,10/10/1997,21:00,"(43.174, 44.712]","(-93.855, -90.198]"
hollywood,ca,United States,changing,300.0,5 minutes,11/1/1998,34.0983333,-118.3258333,10/10/1998,02:30,"(33.631, 34.148]","(-118.34, -116.419]"
phoenix (north part),az,United States,fireball,15.0,10 to 15 sec,2/16/1999,33.4483333,-112.0733333,10/10/1998,03:30,"(32.776, 33.631]","(-116.419, -111.694]"
elgin,il,United States,cylinder,1800.0,30 +/- min,11/1/1998,42.0372222,-88.2811111,10/10/1998,13:15,"(41.721, 42.439]","(-90.198, -87.821]"
las vegas,nv,United States,cigar,600.0,10 minutes,11/1/1998,36.175,-115.1363889,10/10/1998,17:30,"(35.227, 36.2]","(-116.419, -111.694]"
las vegas,nv,United States,circle,2700.0,45min.,8/30/1999,36.175,-115.1363889,10/10/1998,17:30,"(35.227, 36.2]","(-116.419, -111.694]"
nyc/westchester area,ny,United States,triangle,60.0,< 1 min,10/30/2006,40.935998,-73.901708,10/10/1998,20:30,"(40.655, 41.246]","(-74.629, -72.787]"
spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,United States,triangle,600.0,10 minutes,8/5/2001,47.6588889,-117.425,10/10/1998,20:30,"(46.73, 48.88]","(-118.34, -116.419]"
mooresville,nc,United States,light,2.0,2 seconds,11/1/1998,35.5847222,-80.8102778,10/10/1998,20:50,"(35.227, 36.2]","(-80.966, -79.417]"
st. john&#39s (canada),nf,Canada,egg,7200.0,2 hours,12/2/2000,47.55,-52.666667,10/10/1998,22:30,"(46.73, 48.88]","(-72.787, -3.381]"
delano,tn,United States,fireball,15.0,15 seconds,3/21/2003,35.265,-84.5533333,10/10/1998,23:50,"(35.227, 36.2]","(-85.922, -83.971]"
martinez,ca,United States,changing,3600.0,1 hour,10/19/1999,38.0194444,-122.1330556,10/10/1999,00:01,"(37.669, 38.582]","(-122.483, -121.787]"
kansas city,ks,United States,unknown,600.0,5-10 min.,10/19/1999,39.1141667,-94.6272222,10/10/1999,04:00,"(38.582, 39.162]","(-96.949, -93.855]"
dallas,tx,United States,other,10.0,10 seconds,11/20/2001,32.7833333,-96.8,10/10/1999,06:00,"(32.776, 33.631]","(-96.949, -93.855]"
san diego,ca,United States,fireball,3600.0,1 hour,10/19/1999,32.7152778,-117.1563889,10/10/1999,11:00,"(30.421, 32.776]","(-118.34, -116.419]"
kennewick,wa,United States,sphere,45.0,45 secs,10/19/1999,46.2113889,-119.1361111,10/10/1999,12:40,"(44.712, 46.73]","(-121.787, -118.34]"
hayward,ca,United States,circle,90.0,60-90 sec,11/20/2001,37.6688889,-122.0797222,10/10/1999,20:35,"(36.2, 37.669]","(-122.483, -121.787]"
rachel,nv,United States,light,10800.0,3 hours,5/24/2005,37.6447222,-115.7427778,10/10/1999,21:00,"(36.2, 37.669]","(-116.419, -111.694]"
humphrey,ne,United States,sphere,300.0,5 min,2/14/2006,41.6916667,-97.4841667,10/10/1999,21:30,"(41.246, 41.721]","(-104.058, -96.949]"
casey key (north end of),fl,United States,triangle,120.0,several minutes,9/19/2002,27.150053,-82.480653,10/10/1999,22:30,"(-46.165, 27.9]","(-82.495, -80.966]"
elgin,or,United States,chevron,240.0,4 minutes,10/19/1999,45.565,-117.9163889,10/10/1999,22:30,"(44.712, 46.73]","(-118.34, -116.419]"
lewiston,mi,United States,oval,2700.0,45 minutes,10/19/1999,44.8838889,-84.3055556,10/10/1999,23:45,"(44.712, 46.73]","(-85.922, -83.971]"
perryville,mo,United States,oval,180.0,3 minutes,12/2/2000,37.7241667,-89.8611111,10/10/2000,03:00,"(37.669, 38.582]","(-90.198, -87.821]"
boynton beach,fl,United States,other,10.0,10 seconds,12/2/2000,26.525,-80.0666667,10/10/2000,06:15,"(-46.165, 27.9]","(-80.966, -79.417]"
victoria (canada),bc,Canada,cylinder,30.0,30seconds,12/2/2000,46.216667,-63.483333,10/10/2000,07:30,"(44.712, 46.73]","(-72.787, -3.381]"
jueanu,wi,United States,triangle,45.0,45 seconds,12/2/2000,43.40555,-88.705104,10/10/2000,16:00,"(43.174, 44.712]","(-90.198, -87.821]"
valley park area of st. louis,mo,United States,oval,15.0,15 seconds,12/2/2000,38.627003,-90.199404,10/10/2000,20:20,"(38.582, 39.162]","(-93.855, -90.198]"
brinktown,mo,United States,light,1800.0,30 min.,12/2/2000,38.1266667,-92.0844444,10/10/2000,20:30,"(37.669, 38.582]","(-93.855, -90.198]"
florence,ky,United States,light,5.0,4-5 seconds,12/2/2000,38.9988889,-84.6266667,10/10/2000,21:30,"(38.582, 39.162]","(-85.922, -83.971]"
seattle (west),wa,United States,unknown,10.0,10 sec,2/11/2003,47.6063889,-122.3308333,10/10/2000,21:30,"(46.73, 48.88]","(-122.483, -121.787]"
port orchard,wa,United States,diamond,60.0,1min,5/12/2009,47.5405556,-122.635,10/10/2000,22:00,"(46.73, 48.88]","(-169.543, -122.483]"
rockwell city,ia,United States,triangle,240.0,4 min.s,7/1/2002,42.3952778,-94.6336111,10/10/2001,03:00,"(41.721, 42.439]","(-96.949, -93.855]"
sydney (nsw&#44 australia),,Australia,formation,180.0,3 minutes,11/20/2001,-33.861481,151.205475,10/10/2001,04:33,"(-46.165, 27.9]","(-3.381, 178.018]"
vancouver (canada),bc,Canada,other,300.0,+5 minutes,5/12/2011,49.25,-123.133333,10/10/2001,20:10,"(48.88, 70.292]","(-169.543, -122.483]"
hayward,ca,United States,circle,120.0,2/min.,11/20/2001,37.6688889,-122.0797222,10/10/2001,20:35,"(36.2, 37.669]","(-122.483, -121.787]"
ottumwa,ia,United States,rectangle,300.0,3-5 minutes,11/20/2001,41.0041667,-92.3736111,10/10/2001,21:15,"(40.655, 41.246]","(-93.855, -90.198]"
fresno,ca,United States,changing,900.0,15 min. apprx,11/20/2001,36.7477778,-119.7713889,10/10/2001,21:30,"(36.2, 37.669]","(-121.787, -118.34]"
phoenix,az,United States,triangle,60.0,less then a minute,11/20/2001,33.4483333,-112.0733333,10/10/2001,22:00,"(32.776, 33.631]","(-116.419, -111.694]"
virginia beach,va,United States,triangle,30.0,30 seconds,7/26/2002,36.8527778,-75.9783333,10/10/2001,23:00,"(36.2, 37.669]","(-76.978, -74.629]"
hayward,wi,United States,flash,43.0,00:43,10/15/2002,46.0130556,-91.4844444,10/10/2002,00:01,"(44.712, 46.73]","(-93.855, -90.198]"
philomath,or,United States,unknown,5.0,about5seconds,10/15/2002,44.5402778,-123.3663889,10/10/2002,02:00,"(43.174, 44.712]","(-169.543, -122.483]"
adelaide (pt. wakefield) (south australia),,Australia,circle,600.0,10 mins,10/28/2002,-34.928661,138.598633,10/10/2002,04:00,"(-46.165, 27.9]","(-3.381, 178.018]"
seattle,wa,United States,sphere,90.0,90 seconds,10/15/2002,47.6063889,-122.3308333,10/10/2002,06:00,"(46.73, 48.88]","(-122.483, -121.787]"
victoria (canada),bc,Canada,unknown,120.0,2 minutes approx,10/15/2002,46.216667,-63.483333,10/10/2002,19:45,"(44.712, 46.73]","(-72.787, -3.381]"
cincinnati,oh,United States,other,1800.0,30 minutes,10/15/2002,39.1619444,-84.4569444,10/10/2002,20:30,"(38.582, 39.162]","(-85.922, -83.971]"
portland,or,United States,circle,120.0,2min,12/16/2005,45.5236111,-122.675,10/10/2002,21:00,"(44.712, 46.73]","(-169.543, -122.483]"
new buffulo,mi,United States,light,120.0,2 minute,5/24/2005,41.79393,-86.743915,10/10/2003,09:00,"(41.721, 42.439]","(-87.821, -85.922]"
alhambra,ca,United States,oval,300.0,5 min,1/17/2004,34.0952778,-118.1261111,10/10/2003,12:00,"(33.631, 34.148]","(-118.34, -116.419]"
indianapolis,in,United States,sphere,1800.0,30 minutes,10/15/2003,39.7683333,-86.1580556,10/10/2003,18:00,"(39.162, 39.927]","(-87.821, -85.922]"
centreville,va,United States,other,600.0,10 minutes,10/15/2003,38.8402778,-77.4291667,10/10/2003,19:15,"(38.582, 39.162]","(-79.417, -76.978]"
grand view,id,United States,light,15.0,12-15 seconds,10/15/2003,42.9897222,-116.0925,10/10/2003,20:05,"(42.439, 43.174]","(-116.419, -111.694]"
temperance,mi,United States,oval,18000.0,over 5 hours,10/31/2003,41.7791667,-83.5688889,10/10/2003,20:25,"(41.721, 42.439]","(-83.971, -82.495]"
crescent beach,sc,United States,formation,37800.0,1 1/2 hr.,1/17/2004,33.8075,-78.7011111,10/10/2003,21:10,"(33.631, 34.148]","(-79.417, -76.978]"
albuquerque,nm,United States,light,180.0,3 minutes,2/1/2007,35.0844444,-106.6505556,10/10/2003,22:00,"(34.148, 35.227]","(-111.694, -104.058]"
bickerton (near wetherby) (uk/england),,United Kingdom,unknown,2700.0,45minutes,10/15/2003,53.070884,-2.736506,10/10/2003,23:00,"(48.88, 70.292]","(-3.381, 178.018]"
gleason,wi,United States,sphere,1800.0,30min,9/2/2005,45.3088889,-89.4963889,10/10/2003,23:25,"(44.712, 46.73]","(-90.198, -87.821]"
mahwah,nj,United States,triangle,180.0,2 - 3 minutes,12/12/2011,41.0886111,-74.1441667,10/10/2004,02:50,"(40.655, 41.246]","(-74.629, -72.787]"
worthington st. forest,nj,United States,other,2700.0,45 min,10/27/2004,40.058324,-74.405661,10/10/2004,03:30,"(39.927, 40.655]","(-74.629, -72.787]"
portage la prairie (canada),mb,Canada,changing,1200.0,20minutes,10/27/2004,49.966667,-98.3,10/10/2004,03:50,"(48.88, 70.292]","(-104.058, -96.949]"
terre haute,in,United States,sphere,5.0,5 seconds,10/27/2004,39.4666667,-87.4138889,10/10/2004,04:18,"(39.162, 39.927]","(-87.821, -85.922]"
indianapolis,in,United States,oval,15.0,15 seconds,10/27/2004,39.7683333,-86.1580556,10/10/2004,08:30,"(39.162, 39.927]","(-87.821, -85.922]"
nobel (canada),on,Canada,unknown,300.0,5:00,10/27/2004,45.416667,-80.1,10/10/2004,09:45,"(44.712, 46.73]","(-80.966, -79.417]"
morgantown,wv,United States,circle,10.0,10 sec,5/24/2005,39.6294444,-79.9561111,10/10/2004,14:00,"(39.162, 39.927]","(-80.966, -79.417]"
berkeley,ca,United States,unknown,180.0,3 minutes,5/24/2005,37.8716667,-122.2716667,10/10/2004,15:00,"(37.669, 38.582]","(-122.483, -121.787]"
rock island,il,United States,sphere,3600.0,1 hour,10/27/2004,41.5094444,-90.5786111,10/10/2004,15:00,"(41.246, 41.721]","(-93.855, -90.198]"
kedainiai (lithuania),,Lithuania,oval,240.0,4min,10/27/2004,55.288131,23.957728,10/10/2004,15:20,"(48.88, 70.292]","(-3.381, 178.018]"
chateauqua,ny,United States,formation,1200.0,20 min,10/27/2004,42.209774,-79.466844,10/10/2004,19:00,"(41.721, 42.439]","(-80.966, -79.417]"
ripley,ny,United States,circle,900.0,15 min,10/27/2004,42.2669444,-79.7108333,10/10/2004,19:00,"(41.721, 42.439]","(-80.966, -79.417]"
faribault,mn,United States,flash,900.0,1/2 hour,10/27/2004,44.295,-93.2686111,10/10/2004,21:00,"(43.174, 44.712]","(-93.855, -90.198]"
mansfield,oh,United States,light,7200.0,a few hours,10/27/2004,40.7583333,-82.5155556,10/10/2004,21:00,"(40.655, 41.246]","(-83.971, -82.495]"
columbia,mo,United States,light,60.0,1 min,11/28/2007,38.9516667,-92.3338889,10/10/2004,22:00,"(38.582, 39.162]","(-93.855, -90.198]"
gleason,wi,United States,sphere,3000.0,45-50 mins,9/2/2005,45.3088889,-89.4963889,10/10/2004,23:30,"(44.712, 46.73]","(-90.198, -87.821]"
seattle,wa,United States,other,60.0,one + minutes,10/11/2005,47.6063889,-122.3308333,10/10/2005,07:40,"(46.73, 48.88]","(-122.483, -121.787]"
apache junction,az,United States,other,30.0,30 seconds,10/11/2005,33.415,-111.5488889,10/10/2005,09:00,"(32.776, 33.631]","(-111.694, -104.058]"
north miami beach,fl,United States,oval,1800.0,30 minutes,10/20/2005,25.9327778,-80.1627778,10/10/2005,09:30,"(-46.165, 27.9]","(-80.966, -79.417]"
los angeles,ca,United States,egg,10.0,10 seconds,10/20/2005,34.0522222,-118.2427778,10/10/2005,14:45,"(33.631, 34.148]","(-118.34, -116.419]"
loretto,pa,United States,triangle,300.0,5 minutes,10/30/2006,40.5030556,-78.6305556,10/10/2005,20:00,"(39.927, 40.655]","(-79.417, -76.978]"
newtown (uk/wales),,United Kingdom,formation,360.0,5/6 minutes,5/15/2006,52.516667,-3.3,10/10/2005,20:00,"(48.88, 70.292]","(-3.381, 178.018]"
lewisburg,tn,United States,unknown,240.0,4 minutes,12/7/2006,35.4491667,-86.7888889,10/10/2005,21:00,"(35.227, 36.2]","(-87.821, -85.922]"
north miami beach,fl,United States,other,3600.0,60 min,10/11/2005,25.9327778,-80.1627778,10/10/2005,21:30,"(-46.165, 27.9]","(-80.966, -79.417]"
east wenatchee,wa,United States,light,1200.0,20 min,10/20/2005,47.4158333,-120.2919444,10/10/2005,22:08,"(46.73, 48.88]","(-121.787, -118.34]"
hendersonville,nc,United States,light,600.0,10 minutes,10/11/2005,35.3186111,-82.4611111,10/10/2005,23:00,"(35.227, 36.2]","(-82.495, -80.966]"
brainerd,mn,United States,disk,300.0,5 min.,10/30/2006,46.3580556,-94.2005556,10/10/2005,23:07,"(44.712, 46.73]","(-96.949, -93.855]"
pennington,tx,United States,diamond,3600.0,one hour,2/1/2007,31.1911111,-95.2352778,10/10/2006,01:00,"(30.421, 32.776]","(-96.949, -93.855]"
san francisco,ca,United States,triangle,600.0,10 minutes,10/30/2006,37.775,-122.4183333,10/10/2006,05:00,"(37.669, 38.582]","(-122.483, -121.787]"
blairsville,ga,United States,unknown,10.0,<10 sec.,10/30/2006,34.8761111,-83.9583333,10/10/2006,12:37,"(34.148, 35.227]","(-83.971, -82.495]"
savannah,tn,United States,light,600.0,10 minutes,10/30/2006,35.2247222,-88.2491667,10/10/2006,16:00,"(34.148, 35.227]","(-90.198, -87.821]"
waynesboro,va,United States,triangle,600.0,8-10 minutes,10/30/2006,38.0683333,-78.8897222,10/10/2006,16:00,"(37.669, 38.582]","(-79.417, -76.978]"
unsure,ar,United States,fireball,2.0,a few seconds,12/7/2006,35.20105,-91.831833,10/10/2006,19:00,"(34.148, 35.227]","(-93.855, -90.198]"
bray,ok,United States,other,360.0,6 mins,12/12/2009,34.6377778,-97.8172222,10/10/2006,20:00,"(34.148, 35.227]","(-104.058, -96.949]"
plymouth (devonshire) (uk/england),,United Kingdom,formation,120.0,1-2 mins,10/30/2006,50.396389,-4.138611,10/10/2006,21:47,"(48.88, 70.292]","(-72.787, -3.381]"
waycross,ga,United States,light,120.0,2 minutes,10/30/2006,31.2133333,-82.3541667,10/10/2006,22:40,"(30.421, 32.776]","(-82.495, -80.966]"
wolfforth,tx,United States,disk,300.0,5 min,10/30/2006,33.5058333,-102.0086111,10/10/2006,22:50,"(32.776, 33.631]","(-104.058, -96.949]"
lyndhurst,oh,United States,unknown,300.0,5 minutes,10/30/2006,41.52,-81.4888889,10/10/2006,23:00,"(41.246, 41.721]","(-82.495, -80.966]"
lebanon,or,United States,light,14400.0,4 hours,11/28/2007,44.5366667,-122.9058333,10/10/2007,01:00,"(43.174, 44.712]","(-169.543, -122.483]"
stockbridge,ga,United States,changing,3600.0,1 hour,11/28/2007,33.5441667,-84.2338889,10/10/2007,01:00,"(32.776, 33.631]","(-85.922, -83.971]"
denver,co,United States,changing,2700.0,45 minutes+,11/28/2007,39.7391667,-104.9841667,10/10/2007,04:00,"(39.162, 39.927]","(-111.694, -104.058]"
jacksonville,fl,United States,sphere,30.0,30 seconds,3/4/2008,30.3319444,-81.6558333,10/10/2007,04:30,"(27.9, 30.421]","(-82.495, -80.966]"
indio,ca,United States,oval,600.0,10 min.,6/9/2009,33.7205556,-116.2147222,10/10/2007,06:00,"(33.631, 34.148]","(-116.419, -111.694]"
owego,ny,United States,triangle,10800.0,3 hours,11/28/2007,42.1033333,-76.2625,10/10/2007,13:00,"(41.721, 42.439]","(-76.978, -74.629]"
downingtown,pa,United States,circle,120.0,1 to 1 1/2 minutes,11/28/2007,40.0063889,-75.7036111,10/10/2007,18:33,"(39.927, 40.655]","(-76.978, -74.629]"
